ScenarioID,EgoID,Prompt,qwen3-0.6b:latest_Longitudinal_1,qwen3-0.6b:latest_Lateral_1,qwen3-0.6b:latest_Longitudinal_2,qwen3-0.6b:latest_Lateral_2,qwen3-0.6b:latest_Longitudinal_3,qwen3-0.6b:latest_Lateral_3,Trajectory_Longitudinal,Trajectory_Lateral,Safe_Top1,Safe_TopK,MONA_safe,Match_Top1,Match_TopK,Inference_Duration,Reach_Duration
DEU_MONAEast-2_24310_T-24335,16049,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is a left-adjacent lane with the same direction. There is no right-adjacent lane. 
Your velocity is 14.0 m/s, orientation is -0.616 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 16018: It is driving on the same lane and is 61.8 meters in front of you. Its velocity is 14.7 m/s, orientation is -0.620 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 25.4 sec.
    - car 16029: It is driving on the same lane and is 25.4 meters in front of you. Its velocity is 13.8 m/s, orientation is -0.614 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 219.5 sec.
    - car 16102: It is driving on the same lane and is 79.7 meters behind you. Its velocity is 16.4 m/s, orientation is -0.554 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,follow_lane,accelerate,left,stop,left,accelerate,follow_lane,True,True,True,False,False,1.9984471797943115,0.026373624801635742
DEU_MONAEast-2_7670_T-7695,12328,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is a left-adjacent lane with the same direction. There is no right-adjacent lane. 
Your velocity is 5.8 m/s, orientation is -0.619 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 12264: It is driving on the same lane and is 33.7 meters behind you. Its velocity is 6.0 m/s, orientation is -0.619 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12292: It is driving on the same lane and is 13.0 meters in front of you. Its velocity is 5.6 m/s, orientation is -0.612 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 78.2 sec.
    - car 12304: It is driving on the left-adjacent lane in the same direction and is 6.0 meters in front of you. Its velocity is 2.2 m/s, orientation is -0.601 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12344: It is driving on the left-adjacent lane in the same direction and is directly aligned with you. Its velocity is 2.6 m/s, orientation is -0.624 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12347: It is driving on the same lane and is 56.0 meters behind you. Its velocity is 6.3 m/s, orientation is -0.621 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12356: It is driving on the left-adjacent lane in the same direction and is 11.6 meters behind you. Its velocity is 2.4 m/s, orientation is -0.604 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12360: It is driving on the left-adjacent lane in the same direction and is 20.5 meters behind you. Its velocity is 3.5 m/s, orientation is -0.606 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12363: It is driving on the same lane and is 73.0 meters behind you. Its velocity is 6.5 m/s, orientation is -0.613 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12374: It is driving on the same lane and is 85.4 meters behind you. Its velocity is 6.6 m/s, orientation is -0.613 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12386: It is driving on the left-adjacent lane in the same direction and is 39.8 meters behind you. Its velocity is 7.4 m/s, orientation is -0.610 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12392: It is driving on the left-adjacent lane in the same direction and is 56.1 meters behind you. Its velocity is 10.1 m/s, orientation is -0.620 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 12403: It is driving on the left-adjacent lane in the same direction and is 75.9 meters behind you. Its velocity is 11.3 m/s, orientation is -0.619 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",stop,left,accelerate,left,keep,left,keep,follow_lane,True,True,True,False,False,0.4935121536254883,0.038754940032958984
DEU_MONAEast-2_5278_T-5303,11678,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is no left-adjacent lane. There is no right-adjacent lane. 
Your velocity is 15.7 m/s, orientation is 2.551 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 11597: It is driving on the same lane and is 56.3 meters in front of you. Its velocity is 10.7 m/s, orientation is 2.488 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 2.9 sec.
    - car 11655: It is driving on the same lane and is 19.7 meters in front of you. Its velocity is 14.2 m/s, orientation is 2.567 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 1.0 sec.
",keep,follow_lane,keep,follow_lane,keep,follow_lane,decelerate,follow_lane,True,True,True,False,False,0.5095529556274414,0.022819995880126953
DEU_MONAEast-2_43212_T-43237,20634,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
  - right
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is a left-adjacent lane with the same direction. There is a right-adjacent lane with the same direction. 
Your velocity is 16.6 m/s, orientation is -0.534 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 20559: It is driving on the right-adjacent lane in the same direction and is 79.7 meters in front of you. Its velocity is 12.5 m/s, orientation is -0.633 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20562: It is driving on the right-adjacent lane in the same direction and is 93.7 meters in front of you. Its velocity is 15.8 m/s, orientation is -0.608 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20565: It is driving on the right-adjacent lane in the same direction and is 71.8 meters in front of you. Its velocity is 14.1 m/s, orientation is -0.658 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20567: It is driving on the same lane and is 62.1 meters in front of you. Its velocity is 15.2 m/s, orientation is -0.560 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - truck 20597: It is driving on the right-adjacent lane in the same direction and is 31.2 meters in front of you. Its velocity is 16.1 m/s, orientation is -0.596 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20606: It is driving on the left-adjacent lane in the same direction and is 35.0 meters in front of you. Its velocity is 17.2 m/s, orientation is -0.545 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20612: It is driving on the same lane and is 19.4 meters in front of you. Its velocity is 16.5 m/s, orientation is -0.539 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 455.9 sec.
    - car 20643: It is driving on the left-adjacent lane in the same direction and is 16.9 meters behind you. Its velocity is 18.2 m/s, orientation is -0.530 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20658: It is driving on the right-adjacent lane in the same direction and is 21.4 meters behind you. Its velocity is 16.7 m/s, orientation is -0.549 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,right,stop,left,decelerate,left,keep,follow_lane,False,True,True,False,False,1.003619909286499,0.08239054679870605
DEU_MONAEast-2_41314_T-41339,20143,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - right
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is no left-adjacent lane. There is a right-adjacent lane with the same direction. 
Your velocity is 15.5 m/s, orientation is -0.528 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 20115: It is driving on the right-adjacent lane in the same direction and is 87.1 meters in front of you. Its velocity is 15.4 m/s, orientation is -0.562 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20118: It is driving on the right-adjacent lane in the same direction and is 54.0 meters in front of you. Its velocity is 9.5 m/s, orientation is -0.562 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - truck 20120: It is driving on the same lane and is 62.5 meters in front of you. Its velocity is 17.4 m/s, orientation is -0.559 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20131: It is driving on the same lane and is 40.2 meters in front of you. Its velocity is 17.6 m/s, orientation is -0.533 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20138: It is driving on the right-adjacent lane in the same direction and is 13.1 meters in front of you. Its velocity is 16.7 m/s, orientation is -0.531 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 20147: It is driving on the same lane and is 7.7 meters behind you. Its velocity is 15.2 m/s, orientation is -0.529 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,right,stop,right,decelerate,follow_lane,keep,follow_lane,False,True,True,False,False,0.776151180267334,0.06434035301208496
DEU_MONAEast-2_14612_T-14637,13988,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - left
  - right
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is a left-adjacent lane with the same direction. There is a right-adjacent lane with the same direction. 
Your velocity is 14.9 m/s, orientation is -0.615 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - truck 13972: It is driving on the left-adjacent lane in the same direction and is 72.4 meters in front of you. Its velocity is 13.3 m/s, orientation is -0.613 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 13983: It is driving on the same lane and is 47.6 meters in front of you. Its velocity is 14.1 m/s, orientation is -0.617 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 13997: It is driving on the same lane and is 22.2 meters behind you. Its velocity is 14.7 m/s, orientation is -0.618 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 14007: It is driving on the right-adjacent lane in the same direction and is 93.1 meters behind you. Its velocity is 14.9 m/s, orientation is -0.610 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,left,stop,right,decelerate,right,keep,follow_lane,True,True,True,False,False,0.7547769546508789,0.02088475227355957
DEU_MONAEast-2_32916_T-32941,18116,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - right
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is no left-adjacent lane. There is a right-adjacent lane with the same direction. 
Your velocity is 15.1 m/s, orientation is -0.608 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 18092: It is driving on the right-adjacent lane in the same direction and is 15.5 meters in front of you. Its velocity is 15.5 m/s, orientation is -0.616 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - truck 18106: It is driving on the same lane and is 14.4 meters in front of you. Its velocity is 14.7 m/s, orientation is -0.618 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 18138: It is driving on the right-adjacent lane in the same direction and is 29.7 meters behind you. Its velocity is 16.9 m/s, orientation is -0.615 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 18142: It is driving on the same lane and is 38.2 meters behind you. Its velocity is 16.3 m/s, orientation is -0.620 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - truck 18155: It is driving on the right-adjacent lane in the same direction and is 82.7 meters behind you. Its velocity is 15.6 m/s, orientation is -0.591 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 18158: It is driving on the same lane and is 85.5 meters behind you. Its velocity is 15.9 m/s, orientation is -0.586 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",accelerate,right,decelerate,right,keep,right,keep,follow_lane,False,False,True,False,False,0.8050494194030762,0.08380007743835449
DEU_MONAEast-2_18720_T-18745,14908,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
  - right
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is no left-adjacent lane. There is a right-adjacent lane with the same direction. 
Your velocity is 17.9 m/s, orientation is 2.525 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - truck 14893: It is driving on the right-adjacent lane in the same direction and is 82.0 meters in front of you. Its velocity is 15.7 m/s, orientation is 2.543 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 14894: It is driving on the same lane and is 90.4 meters in front of you. Its velocity is 17.7 m/s, orientation is 2.546 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 3.2 sec.
    - car 14896: It is driving on the same lane and is 63.4 meters in front of you. Its velocity is 16.7 m/s, orientation is 2.533 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 2.5 sec.
    - truck 14905: It is driving on the right-adjacent lane in the same direction and is directly aligned with you. Its velocity is 15.6 m/s, orientation is 2.527 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - truck 14918: It is driving on the right-adjacent lane in the same direction and is 21.7 meters behind you. Its velocity is 15.8 m/s, orientation is 2.525 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,follow_lane,stop,right,accelerate,right,accelerate,follow_lane,True,True,True,False,False,0.8407735824584961,0.03132486343383789
DEU_MONAEast-2_30290_T-30315,17324,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is no left-adjacent lane. There is no right-adjacent lane. 
Your velocity is 12.7 m/s, orientation is 2.574 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 17309: It is driving on the same lane and is 35.3 meters in front of you. Its velocity is 10.1 m/s, orientation is 2.162 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 17332: It is driving on the same lane and is 23.6 meters behind you. Its velocity is 15.1 m/s, orientation is 2.565 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 17335: It is driving on the same lane and is 53.0 meters behind you. Its velocity is 15.0 m/s, orientation is 2.550 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,follow_lane,decelerate,follow_lane,stop,follow_lane,decelerate,follow_lane,True,True,True,False,True,0.530925989151001,0.02155613899230957
DEU_MONAEast-2_12792_T-12817,13617,"You are driving a car and need to make a high-level driving decision.
First, carefully observe the environment.
Then, reason through your decision step by step and present it in natural language.
Finally, return the top 3 advisable longitudinal–lateral action pairs, ranked from best to worst.
Feasible longitudinal actions:
  - accelerate
  - decelerate
  - keep
  - stop
Feasible lateral actions:
  - follow_lane
No past actions recorded. 
 /no_thinkHere is an overview of your environment:
There is no left-adjacent lane. There is no right-adjacent lane. 
Your velocity is 17.3 m/s, orientation is -0.554 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s².
Here is an overview of all relevant obstacles surrounding you:
    - car 13579: It is driving on the same lane and is 90.9 meters in front of you. Its velocity is 18.8 m/s, orientation is -0.624 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 13596: It is driving on the same lane and is 63.2 meters in front of you. Its velocity is 18.6 m/s, orientation is -0.615 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is 58.1 sec.
    - car 13641: It is driving on the same lane and is 53.7 meters behind you. Its velocity is 17.1 m/s, orientation is -0.535 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
    - car 13653: It is driving on the same lane and is 70.4 meters behind you. Its velocity is 17.7 m/s, orientation is -0.540 rad, steering angle is 0.000 rad, and acceleration is 0.0 m/s². The time-to-collision is inf sec.
",keep,follow_lane,decelerate,follow_lane,stop,follow_lane,keep,follow_lane,True,True,True,True,True,0.9322550296783447,0.023974895477294922
